Código UC,Nome da UC,Municípios Abrangidos
0000.00.1461,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LULA LOBO I,CORURIPE (AL)
0000.00.1462,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SÃO PEDRO,PILAR (AL)
0000.00.1464,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ROSA DO SOL,BARRA DE SÃO MIGUEL (AL)
0000.00.1518,RESERVA EXTRATIVISTA DO RIO CAJARI,LARANJAL DO JARI (AP) - MAZAGÃO (AP) - VITÓRIA DO JARI (AP)
0000.00.1520,RESERVA EXTRATIVISTA DO QUILOMBO FLEXAL,MIRINZAL (MA)
0000.00.1563,RESERVA EXTRATIVISTA ACAÚ-GOIANA,CAAPORÃ (PB) - GOIANA (PE) - PITIMBU (PB)
0000.00.1808,RESERVA EXTRATIVISTA DE CASSURUBÁ,ALCOBAÇA (BA) - CARAVELAS (BA) - NOVA VIÇOSA (BA)
0000.00.1809,RESERVA EXTRATIVISTA PRAINHA DO CANTO VERDE,BEBERIBE (CE)
0000.00.1813,REFÚGIO DE VIDA SILVESTRE DO RIO DOS FRADES,PORTO SEGURO (BA)
0000.00.1880,REFÚGIO DE VIDA SILVESTRE DE UNA,UNA (BA)
0000.00.1909,PARQUE NACIONAL DA SERRA DAS LONTRAS,ARATACA (BA) - SÃO JOSÉ DA VITÓRIA (BA) - UNA (BA)
0000.00.1911,REFÚGIO DE VIDA SILVESTRE DE SANTA CRUZ,ARACRUZ (ES) - FUNDÃO (ES) - SERRA (ES)
0000.00.1912,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DAS ALGAS,ARACRUZ (ES) - FUNDÃO (ES) - SERRA (ES)
0000.00.2070,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA UNIÃO,ILHÉUS (BA)
0000.00.2071,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOM SOSSEGO II,PORTO SEGURO (BA)
0000.00.2072,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOM SOSSEGO III,PORTO SEGURO (BA)
0000.00.2077,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAHY,PRADO (BA)
0000.00.2081,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAPÃO REDONDO,BALNEÁRIO ARROIO DO SILVA (SC)
0000.00.2087,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CURIÓ,SÃO SEBASTIÃO DO PASSÉ (BA)
0000.00.2095,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO CAJU,ITAPORANGA D'AJUDA (SE)
0000.00.2096,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PEREIRA,CORURIPE (AL)
0000.00.2097,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DONA BENTA E SEU CABOCLO,PIRAMBU (SE)
0000.00.2101,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL,PORTO SEGURO (BA)
0000.00.2107,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DO TANGUÁ,ANGRA DOS REIS (RJ)
0000.00.2115,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO NORTE I,PRADO (BA)
